t,x,y,method
+1.570796e+00,+1.230391e-04,-9.999670e-01,RK4
+1.884956e+00,-3.088643e-01,-9.510645e-01,RK4
+2.199115e+00,-5.876188e-01,-8.090809e-01,RK4
+2.513274e+00,-8.088586e-01,-5.879135e-01,RK4
+2.827433e+00,-9.509316e-01,-3.092093e-01,RK4
+3.141593e+00,-9.999340e-01,-2.460702e-04,RK4
+3.455752e+00,-9.510711e-01,+3.087371e-01,RK4
+3.769911e+00,-8.091265e-01,+5.874998e-01,RK4
+4.084070e+00,-5.879936e-01,+8.087596e-01,RK4
+4.398230e+00,-3.093161e-01,+9.508622e-01,RK4
+4.712389e+00,-3.690931e-04,+9.999010e-01,RK4
+5.026548e+00,+3.086099e-01,+9.510778e-01,RK4
+5.340708e+00,+5.873809e-01,+8.091721e-01,RK4
+5.654867e+00,+8.086606e-01,+5.880737e-01,RK4
+5.969026e+00,+9.507928e-01,+3.094229e-01,RK4
+6.283185e+00,+9.998680e-01,+4.921079e-04,RK4
+6.597345e+00,+9.510844e-01,-3.084827e-01,RK4
+6.911504e+00,+8.092177e-01,-5.872620e-01,RK4
+7.225663e+00,+5.881539e-01,-8.085615e-01,RK4
+7.539822e+00,+3.095297e-01,-9.507234e-01,RK4
+7.853982e+00,+6.151146e-04,-9.998350e-01,RK4
+8.168141e+00,-3.083556e-01,-9.510910e-01,RK4
+8.482300e+00,-5.871430e-01,-8.092633e-01,RK4
+8.796459e+00,-8.084625e-01,-5.882339e-01,RK4
+9.110619e+00,-9.506539e-01,-3.096364e-01,RK4
+9.424778e+00,-9.998019e-01,-7.381131e-04,RK4
+9.738937e+00,-9.510975e-01,+3.082284e-01,RK4
+1.005310e+01,-8.093088e-01,+5.870241e-01,RK4
+1.036726e+01,-5.883140e-01,+8.083635e-01,RK4
+1.068142e+01,-3.097432e-01,+9.505845e-01,RK4
+1.099557e+01,-8.611036e-04,+9.997689e-01,RK4
+1.130973e+01,+3.081012e-01,+9.511041e-01,RK4
+1.162389e+01,+5.869052e-01,+8.093544e-01,RK4
+1.193805e+01,+8.082644e-01,+5.883941e-01,RK4
+1.225221e+01,+9.505150e-01,+3.098499e-01,RK4
+1.256637e+01,+9.997358e-01,+9.840859e-04,RK4
+1.288053e+01,+9.511106e-01,-3.079740e-01,RK4
+1.319469e+01,+8.093999e-01,-5.867862e-01,RK4
+1.350885e+01,+5.884741e-01,-8.081654e-01,RK4
+1.382301e+01,+3.099567e-01,-9.504456e-01,RK4
+1.413717e+01,+1.107060e-03,-9.997027e-01,RK4
+1.445133e+01,-3.078468e-01,-9.511172e-01,RK4
+1.476549e+01,-5.866673e-01,-8.094454e-01,RK4
+1.507964e+01,-8.080663e-01,-5.885542e-01,RK4
+1.539380e+01,-9.503761e-01,-3.100634e-01,RK4
