t,x,delta_y,u,v,theta
0.42,0.327645,9.20652e-14,0.780107,0.220938,0.687775
0.421,0.328425,9.2204e-14,0.780107,0.219938,0.687775
0.422,0.329205,9.23706e-14,0.780107,0.218938,0.687775
0.423,0.329985,9.24816e-14,0.780107,0.217938,0.687775
0.424,0.330765,9.26204e-14,0.780107,0.216938,0.687775
0.425,0.331545,9.27869e-14,0.780107,0.215938,0.687775
0.426,0.332326,9.29257e-14,0.780107,0.214938,0.687775
0.427,0.333106,9.312e-14,0.780107,0.213938,0.687775
0.428,0.333886,9.32865e-14,0.780107,0.212938,0.687775
0.429,0.334666,9.34253e-14,0.780107,0.211938,0.687775
